"Code";"Country_name";"Year";"Fixed_telephone_subscriptions";"Fixed_broadband_subscriptions";"Mobile_cellular_subscriptions";"Number_of_Internet_users"
"GAB";"Gabon";"2020";25428.0;44607.0;3049530.0;1421400.0
"GBR";"United Kingdom";"2020";32037000.0;27330300.0;79007000.0;63584600.0
"GEO";"Georgia";"2020";387698.0;972162.0;5100100.0;2731480.0
"GHA";"Ghana";"2020";307668.0;78371.0;40461600.0;18664600.0
"GIB";"Gibraltar";"2020";17041.0;21009.0;35438.0;0.0
"GIN";"Guinea";"2020";0.0;1000.0;13795000.0;3433340.0
"GMB";"Gambia";"2020";60000.0;5000.0;2677950.0;939512.0
"GNB";"Guinea-Bissau";"2020";0.0;2383.0;1913860.0;461627.0
"GNQ";"Equatorial Guinea";"2020";11000.0;1000.0;645000.0;0.0
"GRC";"Greece";"2020";5028330.0;4257030.0;11413000.0;8211720.0
"GRD";"Grenada";"2020";16000.0;32000.0;122000.0;70369.0
"GRL";"Greenland";"2020";6352.0;15649.0;65958.0;0.0
"GTM";"Guatemala";"2020";2272470.0;612000.0;20390700.0;8676150.0
"GUM";"Guam";"2020";70000.0;3000.0;0.0;0.0
"GUY";"Guyana";"2020";125000.0;95000.0;856000.0;0.0
"HKG";"Hong Kong";"2020";3900600.0;2885590.0;21865200.0;6931870.0
"HND";"Honduras";"2020";531763.0;396916.0;6960650.0;4256200.0
"HRV";"Croatia";"2020";1299330.0;1030970.0;4375700.0;3208710.0
"HTI";"Haiti";"2020";6000.0;31000.0;7319000.0;3900850.0
"HUN";"Hungary";"2020";2970350.0;3265310.0;10332700.0;8265670.0
"IDN";"Indonesia";"2020";9662140.0;11722200.0;355620000.0;146060000.0
"IND";"India";"2020";20052200.0;22950000.0;1153710000.0;600446000.0
"IRL";"Ireland";"2020";1678650.0;1516470.0;5234030.0;4550430.0
"IRN";"Iran";"2020";29093600.0;9564200.0;127625000.0;73420500.0
"IRQ";"Iraq";"2020";2699760.0;6254100.0;37475300.0;0.0
"ISL";"Iceland";"2020";107032.0;141816.0;421384.0;363015.0
"ISR";"Israel";"2020";3370000.0;2602080.0;12270000.0;7892890.0
"ITA";"Italy";"2020";19607300.0;18128800.0;77581000.0;41938000.0
"JAM";"Jamaica";"2020";436249.0;385603.0;2873260.0;0.0
"JOR";"Jordan";"2020";391486.0;630545.0;6987890.0;0.0
"JPN";"Japan";"2020";61978600.0;44000800.0;195055000.0;112995000.0
"KAZ";"Kazakhstan";"2020";3091000.0;2620400.0;24293900.0;16311300.0
"KEN";"Kenya";"2020";66646.0;674191.0;61408900.0;15335800.0
"KGZ";"Kyrgyzstan";"2020";299000.0;289000.0;8511000.0;0.0
