"Code";"Country_name";"Internet_users";"max_internet_users_year";"Urban_population";"Electricity_access_urban";"GDP"
"UKR";"Ukraine";75.03791046;"2020";69.60800171;100.0;12375.9
"URY";"Uruguay";86.09999847;"2020";95.51499939;100.0;21608.4
"USA";"United States";90.90000153;"2020";82.66400146;100.0;59919.8
"UZB";"Uzbekistan";71.09999847;"2020";50.41600037;100.0;7331.86
"VNM";"Vietnam";70.30000305;"2020";37.34000015;100.0;8200.33
"ZAF";"South Africa";70.0;"2020";67.35399628;88.80626678;12665.8
"ZMB";"Zambia";19.79999924;"2020";44.62900162;82.38262177;3277.82
"ZWE";"Zimbabwe";29.29999924;"2020";32.24200058;85.71547699;3353.41
"IRQ";"Iraq";60.0;"2019";70.6780014;100.0;10935.6
"KGZ";"Kyrgyzstan";51.0;"2019";36.5909996;99.71401215;5258.37
"MWI";"Malawi";9.899999619;"2019";17.17399979;45.5;1537.14
"FJI";"Fiji";68.90000153;"2018";56.2480011;99.82519531;13846.1
"JAM";"Jamaica";68.21451569;"2018";55.67399979;99.96777344;9734.86
"JOR";"Jordan";66.09999847;"2018";90.97899628;100.0;10013.4
"MDG";"Madagascar";15.0;"2018";37.19100189;0.0;1591.97
"BRB";"Barbados";81.76078033;"2017";31.1590004;100.0;15789.0
"COG";"Congo";8.649999619;"2017";66.45899963;63.5681076;4234.66
"COM";"Comoros";8.478170395;"2017";28.7840004;94.44502258;3032.26
"GNQ";"Equatorial Guinea";26.23999977;"2017";71.64600372;91.54691315;22551.0
"GUY";"Guyana";37.32583618;"2017";26.53800011;96.00860596;12005.4
"KHM";"Cambodia";32.90028;"2017";22.97999954;99.05999756;0.0
"MDA";"Moldova";76.12451935;"2017";42.55699921;99.94999695;11651.3
"NER";"Niger";10.22431183;"2017";16.35000038;60.00941467;1163.23
"PNG";"Papua New Guinea";11.20919704;"2017";13.10200024;80.53930664;4285.63
"SLB";"Solomon Islands";11.92422867;"2017";23.2859993;71.09558105;2663.94
"SOM";"Somalia";2.004048586;"2017";44.39099884;69.41220856;1079.11
"SWZ";"Eswatini";30.29999924;"2017";23.625;85.59487152;8408.04
"TJK";"Tajikistan";21.95999908;"2017";26.98200035;99.19999695;3252.93
"TKM";"Turkmenistan";21.25099754;"2017";51.15299988;100.0;14205.0
"TTO";"Trinidad and Tobago";70.59999847;"2017";53.20500183;100.0;26342.6
"VEN";"Venezuela";61.59999847;"2017";88.18299866;100.0;0.0
"VUT";"Vanuatu";25.7197876;"2017";25.16300011;92.1265564;3081.84
"YEM";"Yemen";26.71835518;"2017";36.01599884;92.9834137;0.0
"LBY";"Libya";17.76000023;"2014";79.00900269;100.0;12201.2
"PRK";"North Korea";0.0;"2013";60.91799927;32.0;0.0
"ERI";"Eritrea";0.699999988;"2011";35.77099991;77.57258606;0.0
